2022-06-01 16:57:47.869 debug 7416 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-06-01 16:57:47.912 debug 7416 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8989 (http) with context path '/onegroup'
2022-06-01 16:57:47.916 debug 7416 --- [restartedMain] com.shanghai.Starter                     : Started Starter in 2.348 seconds (JVM running for 4.737)
2022-06-01 16:58:38.409 debug 7416 --- [http-nio-8989-exec-1] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-01 16:58:38.409 debug 7416 --- [http-nio-8989-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-06-01 16:58:38.414 debug 7416 --- [http-nio-8989-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 5 ms
2022-06-01 17:09:25.790 debug 7416 --- [Thread-5] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2022-06-01 17:09:26.026 debug 7416 --- [restartedMain] com.shanghai.Starter                     : Starting Starter on DESKTOP-4R9U7E7 with PID 7416 (D:\onegroup\target\classes started by zi in D:\onegroup)
2022-06-01 17:09:26.026 debug 7416 --- [restartedMain] com.shanghai.Starter                     : The following profiles are active: dev
2022-06-01 17:09:26.283 debug 7416 --- [restartedMain] org.apache.tomcat.util.modeler.Registry  : The MBean registry cannot be disabled because it has already been initialised
2022-06-01 17:09:26.297 debug 7416 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8989 (http)
2022-06-01 17:09:26.298 debug 7416 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 17:09:26.298 debug 7416 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2022-06-01 17:09:26.313 debug 7416 --- [restartedMain] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring embedded WebApplicationContext
2022-06-01 17:09:26.314 debug 7416 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 285 ms
2022-06-01 17:09:26.428 debug 7416 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2022-06-01 17:09:26.518 debug 7416 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-06-01 17:09:26.535 debug 7416 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8989 (http) with context path '/onegroup'
2022-06-01 17:09:26.536 debug 7416 --- [restartedMain] com.shanghai.Starter                     : Started Starter in 0.547 seconds (JVM running for 703.357)
2022-06-01 17:09:26.539 debug 7416 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2022-06-01 17:10:25.108 debug 7416 --- [Thread-8] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2022-06-01 17:10:34.207 debug 7416 --- [restartedMain] com.shanghai.Starter                     : Starting Starter on DESKTOP-4R9U7E7 with PID 7416 (D:\onegroup\target\classes started by zi in D:\onegroup)
2022-06-01 17:10:34.208 debug 7416 --- [restartedMain] com.shanghai.Starter                     : The following profiles are active: dev
2022-06-01 17:10:34.429 debug 7416 --- [restartedMain] org.apache.tomcat.util.modeler.Registry  : The MBean registry cannot be disabled because it has already been initialised
2022-06-01 17:10:34.444 debug 7416 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8989 (http)
2022-06-01 17:10:34.444 debug 7416 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 17:10:34.445 debug 7416 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2022-06-01 17:10:34.460 debug 7416 --- [restartedMain] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring embedded WebApplicationContext
2022-06-01 17:10:34.461 debug 7416 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 251 ms
2022-06-01 17:10:34.625 debug 7416 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2022-06-01 17:10:34.723 debug 7416 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-06-01 17:10:34.741 debug 7416 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8989 (http) with context path '/onegroup'
2022-06-01 17:10:34.742 debug 7416 --- [restartedMain] com.shanghai.Starter                     : Started Starter in 0.558 seconds (JVM running for 771.563)
2022-06-01 17:10:34.744 debug 7416 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2022-06-01 17:10:53.330 debug 7416 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2022-06-01 17:11:30.887 debug 6568 --- [restartedMain] com.shanghai.Starter                     : Starting Starter on DESKTOP-4R9U7E7 with PID 6568 (D:\onegroup\target\classes started by zi in D:\onegroup)
2022-06-01 17:11:30.892 debug 6568 --- [restartedMain] com.shanghai.Starter                     : The following profiles are active: dev
2022-06-01 17:11:31.017 debug 6568 --- [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : The Class-Path manifest attribute in D:\maven1\repository\com\mchange\c3p0\0.9.5.5\c3p0-0.9.5.5.jar referenced one or more files that do not exist: file:/D:/maven1/repository/com/mchange/c3p0/0.9.5.5/mchange-commons-java-0.2.19.jar
2022-06-01 17:11:31.018 debug 6568 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-06-01 17:11:31.020 debug 6568 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-06-01 17:11:32.483 debug 6568 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8989 (http)
2022-06-01 17:11:32.492 debug 6568 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 17:11:32.493 debug 6568 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2022-06-01 17:11:32.564 debug 6568 --- [restartedMain] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring embedded WebApplicationContext
2022-06-01 17:11:32.564 debug 6568 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1544 ms
2022-06-01 17:11:32.724 debug 6568 --- [MLog-Init-Reporter] com.mchange.v2.log.MLog                  : MLog clients using slf4j logging.
2022-06-01 17:11:32.755 debug 6568 --- [restartedMain] com.mchange.v2.c3p0.C3P0Registry         : Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
2022-06-01 17:11:33.088 debug 6568 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2022-06-01 17:11:33.343 debug 6568 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-06-01 17:11:33.390 debug 6568 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8989 (http) with context path '/onegroup'
2022-06-01 17:11:33.394 debug 6568 --- [restartedMain] com.shanghai.Starter                     : Started Starter in 3.164 seconds (JVM running for 4.347)
2022-06-01 17:12:05.638 debug 6568 --- [http-nio-8989-exec-1] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-01 17:12:05.638 debug 6568 --- [http-nio-8989-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-06-01 17:12:05.647 debug 6568 --- [http-nio-8989-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 9 ms
2022-06-01 17:14:07.251 debug 6568 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2022-06-01 17:15:44.334 debug 4020 --- [restartedMain] com.shanghai.Starter                     : Starting Starter on DESKTOP-4R9U7E7 with PID 4020 (D:\onegroup\target\classes started by zi in D:\onegroup)
2022-06-01 17:15:44.339 debug 4020 --- [restartedMain] com.shanghai.Starter                     : The following profiles are active: dev
2022-06-01 17:15:44.392 debug 4020 --- [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : The Class-Path manifest attribute in D:\maven1\repository\com\mchange\c3p0\0.9.5.5\c3p0-0.9.5.5.jar referenced one or more files that do not exist: file:/D:/maven1/repository/com/mchange/c3p0/0.9.5.5/mchange-commons-java-0.2.19.jar
2022-06-01 17:15:44.392 debug 4020 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-06-01 17:15:44.394 debug 4020 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-06-01 17:15:45.314 debug 4020 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8989 (http)
2022-06-01 17:15:45.324 debug 4020 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 17:15:45.324 debug 4020 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2022-06-01 17:15:45.392 debug 4020 --- [restartedMain] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring embedded WebApplicationContext
2022-06-01 17:15:45.392 debug 4020 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 998 ms
2022-06-01 17:15:45.552 debug 4020 --- [MLog-Init-Reporter] com.mchange.v2.log.MLog                  : MLog clients using slf4j logging.
2022-06-01 17:15:45.582 debug 4020 --- [restartedMain] com.mchange.v2.c3p0.C3P0Registry         : Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
2022-06-01 17:15:45.903 debug 4020 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2022-06-01 17:15:46.143 debug 4020 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-06-01 17:15:46.209 debug 4020 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8989 (http) with context path '/onegroup'
2022-06-01 17:15:46.213 debug 4020 --- [restartedMain] com.shanghai.Starter                     : Started Starter in 2.355 seconds (JVM running for 3.467)
2022-06-01 17:15:49.356 debug 4020 --- [http-nio-8989-exec-1] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-01 17:15:49.356 debug 4020 --- [http-nio-8989-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-06-01 17:15:49.362 debug 4020 --- [http-nio-8989-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 6 ms
2022-06-01 17:27:05.706 debug 4020 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2022-06-07 11:31:26.094 debug 18572 --- [restartedMain] com.shanghai.Starter                     : Starting Starter on LAPTOP-U6GI9N with PID 18572 (D:\IdeaProjects\onegroup\target\classes started by Hai in D:\IdeaProjects\onegroup)
2022-06-07 11:31:26.095 debug 18572 --- [restartedMain] com.shanghai.Starter                     : The following profiles are active: dev
